代码,简称,日期,涨跌幅(%),
881001.WI,万得全A,2012-01-18,-1.6662,
881001.WI,万得全A,2012-01-19,1.349,
881001.WI,万得全A,2012-01-20,1.1353,
881001.WI,万得全A,2012-01-30,-1.3391,
881001.WI,万得全A,2012-01-31,0.242,
881001.WI,万得全A,2012-02-01,-0.9821,
881001.WI,万得全A,2012-02-02,1.9475,
881001.WI,万得全A,2012-02-03,0.8956,
881001.WI,万得全A,2012-02-06,0.1848,
881001.WI,万得全A,2012-02-07,-1.6922,
881001.WI,万得全A,2012-02-08,2.531,
881001.WI,万得全A,2012-02-09,0.2083,
881001.WI,万得全A,2012-02-10,0.1747,
881001.WI,万得全A,2012-02-13,0.1587,
881001.WI,万得全A,2012-02-14,-0.2468,
881001.WI,万得全A,2012-02-15,1.0553,
881001.WI,万得全A,2012-02-16,-0.3615,
881001.WI,万得全A,2012-02-17,-0.0554,
881001.WI,万得全A,2012-02-20,0.2511,
881001.WI,万得全A,2012-02-21,0.857,
881001.WI,万得全A,2012-02-22,1.1668,
881001.WI,万得全A,2012-02-23,0.2902,
881001.WI,万得全A,2012-02-24,1.2951,
881001.WI,万得全A,2012-02-27,0.3317,
881001.WI,万得全A,2012-02-28,-0.0015,
881001.WI,万得全A,2012-02-29,-1.0345,
881001.WI,万得全A,2012-03-01,-0.014,
881001.WI,万得全A,2012-03-02,1.595,
881001.WI,万得全A,2012-03-05,-0.5527,
881001.WI,万得全A,2012-03-06,-1.3425,
881001.WI,万得全A,2012-03-07,-0.6347,
881001.WI,万得全A,2012-03-08,1.1022,
881001.WI,万得全A,2012-03-09,0.9903,
881001.WI,万得全A,2012-03-12,-0.095,
881001.WI,万得全A,2012-03-13,0.9193,
881001.WI,万得全A,2012-03-14,-2.935,
881001.WI,万得全A,2012-03-15,-0.6982,
881001.WI,万得全A,2012-03-16,1.5411,
881001.WI,万得全A,2012-03-19,0.4413,
881001.WI,万得全A,2012-03-20,-1.5215,
881001.WI,万得全A,2012-03-21,0.0551,
881001.WI,万得全A,2012-03-22,-0.1808,
881001.WI,万得全A,2012-03-23,-1.24,
881001.WI,万得全A,2012-03-26,0.0387,
881001.WI,万得全A,2012-03-27,-0.2399,
881001.WI,万得全A,2012-03-28,-2.9902,
881001.WI,万得全A,2012-03-29,-1.4884,
881001.WI,万得全A,2012-03-30,0.2897,
881001.WI,万得全A,2012-04-05,2.0757,
881001.WI,万得全A,2012-04-06,0.3297,
881001.WI,万得全A,2012-04-09,-0.941,
881001.WI,万得全A,2012-04-10,0.9101,
881001.WI,万得全A,2012-04-11,0.1964,
881001.WI,万得全A,2012-04-12,1.847,
881001.WI,万得全A,2012-04-13,0.4151,
